Hält sich Mitte des Gleises auf und hat gerade jemanden gepackt,2024-02-07 15:09:36
blue suit light green vests,2024-02-07 15:59:26
S42 shoneberg 2 db-man’s,2024-02-07 15:58:47
sind jetzt doch wittenbergplatz ausgestiegen,2024-02-07 15:05:20
Richtung Mehringdamm,2024-02-07 15:45:19
"Aufm S Landsberger Allee stehen ein Haufen Cops in Montur, keine Kontrollen bisher",2024-02-07 15:58:35
Welche Haltstelle ?,2024-02-07 15:09:46
U8 Hermannstraße Richtung Wittenau b.o.s und cops,2024-02-07 14:43:22
"Drei Kontrolletis auf dem Bahnsteig u2 bülowstraße, steigen in die nächste ubahn Richtung ruhleben ein",2024-02-07 14:34:16
Bellevue sind 2 mit schwarzen Jacken,2024-02-07 14:02:21
"große gruppe (min 6) BOS U7 stehen fehrbelliner platz und warten auf U7 richtung spandau

fünf m gelesen und eine w gelesen mit weißem mantel",2024-02-07 14:56:15
Schillstraße ausgestiegen,2024-02-07 14:37:58
Bellevue,2024-02-07 14:37:00
,2024-02-07 14:05:37
,2024-02-07 14:05:37
bOS blissestraße u7,2024-02-07 14:28:33
Mehrere Kontrollen,2024-02-07 14:37:15
u8 richtung wittenau 3-4 kontrolettis,2024-02-07 14:51:17
Ringbahn S42 Hermanstr ausgestiegen. 1x olivgrüner Parler im Jeans und Kollege in Schwarzer Jacke. Sind S-Bahn Hermannstraße ausgestiegen,2024-02-07 14:49:22
sagen dass die mit der U7 richtung spandau durchfahren wollen,2024-02-07 14:58:58
friedrichstr s5 gleis straussberg,2024-02-07 14:50:59
Hansaplatz u9,2024-02-07 14:37:39
,2024-02-07 13:55:35
U8 Pankstrasse,2024-02-07 13:45:31
U8 blue jackets x 3,2024-02-07 13:05:11
Weinmaster am gleis,2024-02-07 13:05:24
U6 blau vesten oranienburger tor richtung alt mariendorf,2024-02-07 13:06:49
,2024-02-07 13:55:34
"Jannowitzbrücke s bahn kontrolleur:innen

Unauffällig schwarz gekleidet",2024-02-07 13:53:42
Hallesches Tor. (U6). Stay on the platform,2024-02-07 13:39:53
Blue jankets B.O.S. at Alexander Platz U5 direction Hauptbahnhof,2024-02-07 13:16:36
S3 sind Sbhf Köpenick vier kontrolleure eingestiegen  drei Frauen plus ein typ,2024-02-07 13:44:40
what direction?,2024-02-07 13:34:21
Next arriving at gesundbrunnen,2024-02-07 13:08:52
U8 Weinmeisterstr ausgestiegen,2024-02-07 13:02:22
U7 Mehringdamm Richtung Rathaus Spandau.. viele stehen auf dem Bahnstieg,2024-02-07 13:40:46
Mehringdamm raus,2024-02-07 13:33:56
Höhe nordbahnhof sry,2024-02-07 12:38:59
2 x blauwesten u 8 Alex ausgestiegen.,2024-02-07 12:29:50
"U8 Rosenthaler Platz, 3x Blue Vest, up taking a break probably",2024-02-07 12:52:53
"S42 Hohenzollerndamm, 2 Männer mit schwarzen Strickmützen. Sind nicht ausgestiegen und fahren weiter",2024-02-07 12:41:41
U6 Reinickendorfer str. Rich. Alt-Mariendorf 4/5x Männer mit blauwesten 2 auch am Gleis,2024-02-07 12:51:04
U7 Hermannplatz Richtung Rathaus Spandau große Gruppe auf dem Bahnsteig,2024-02-07 12:43:39
Kontroleurin in der u8 heinrich Heine str. Richtung wittenau.,2024-02-07 12:05:02
One or more got off at Bernauer Strasse,2024-02-07 12:59:12
Blauwesten in Weinmeisterstraße 2 Frauen,2024-02-07 12:26:05
Richtung Hermannstraße,2024-02-07 12:26:18
"They left on Bernauer str., will probably get on the next train",2024-02-07 12:08:52
"M10 Richtung Turmstraße, braune Samtjacke",2024-02-07 12:34:04
S41 Tempelhof 2 men in casual clothes,2024-02-07 12:32:07
Wo?,2024-02-07 12:38:45
2 blauwesten u bernauer Straße,2024-02-07 12:31:42
In BVG Uniform,2024-02-07 11:09:01
"Ich habe stand auf dem Bahnsteig, sie stiegen in den Zug. Blaue Westen.",2024-02-07 11:56:17
"One guy, 2 girls",2024-02-07 11:24:11
"Kontrolletti s75 nach Potsdam, gerade s Springpfuhl
Schwarze Jacke, blonde kurze haare",2024-02-07 11:02:00
U6 Richtung alt Mariendorf jetzt ullsteinstr,2024-02-07 11:08:56
"12:15 uhr, weitergeleitet:

""U3 Prinzenstrasse
Richtung Krumme Lanke""",2024-02-07 11:17:59
m5 richtung zingster straße — jetzt mollstr/otto braun str,2024-02-07 11:21:47
S bahn,2024-02-07 11:24:30
3 Blaue Western Frankfurter Tor richtung Haupbahnof,2024-02-07 11:34:40
U7,2024-02-07 11:59:15
Pigs u6 ullsteinstraße,2024-02-07 11:13:04
Welche Kleidung?,2024-02-07 11:54:11
"U6 
leopoldplatz",2024-02-07 11:28:14
Three officers at Wedding station,2024-02-07 11:24:02
U Schloßstraße Bushaltestelle M85 Richtung Lichterfelde Süd,2024-02-07 11:55:32
Gerade ein Mac book air am Alex gefunden,2024-02-07 10:56:51
Mit der s41 bis gesundbrunnen gefahren und jetzt dort auf dem Gleis,2024-02-07 10:06:39
Bullen und B.O.S. U5 magdalenenstraße.,2024-02-07 10:49:25
Blauwesten Bus Station Ostkreuz Richtung Lichtenberg,2024-02-07 10:17:23
U6 wird kontrolliert Hallesches Tor,2024-02-07 10:41:47
U9 Turmstr ausgestiegen,2024-02-07 10:50:35
S1 Nikolassee,2024-02-07 10:33:31
U2 direccion ruhleben,2024-02-07 10:47:27
"S1 Feuerbachstraße, 2 Männer und 2 Frauen, alle in schwarz- kontrollieren Richtung Wannsee.",2024-02-07 10:04:38
S 1 Richtung Frohnau steigen Wedding aus,2024-02-07 10:00:27
U2 Richtung Pankow,2024-02-07 10:00:26
Now hufeland towards hakescher,2024-02-07 10:30:13
M4 Greifswalder Danziger,2024-02-07 10:24:48
"Ringbahn zwischen Frankfurter Allee und Storkower. Zwei Dudes, erkennt ihr sofort, trust me 😅",2024-02-07 10:17:17
Und weiter gehts. Nochmal zwei dudes zwischen Landsberger und Greifswalder,2024-02-07 10:20:39
4 blaue Westen am u8 weinmeisterstrasse,2024-02-07 09:10:11
"u7 ri hermannplatz, nächste station gneisenaustrasse",2024-02-07 09:16:55
S5 Richtung Olympiastadion momentan in birkenstein,2024-02-07 09:57:01
Sind weinmeister raus,2024-02-07 09:49:52
Bus X10 Richtung Zehlendorf sind eben an der Station Adenauerplatz ausgestiegen,2024-02-07 09:23:44
Am Alexanderplatz u8 Richtung Kreuzberg,2024-02-07 09:17:07
Auf dem Bahnsteig oder in der U-Bahn?,2024-02-07 09:18:44
"u8 ri wittenau, zwischen jannowitzbrücke und alexanderplatz",2024-02-07 09:35:48
"09:36 uhr

""S3 Olympiastadium""


Originalbild gelöscht.
Bitte alle Gesichter aus den Bildern übermalen oder rausschneiden.

Es ist nicht ok einen ganzen Wagen oder Plattform zu fotografieren und hier reinzustellen.",2024-02-07 09:36:04
"S1 nach Halensee. 2x männlich gelesen, 1x mit schwarzer Jacke, 1x mit grauer Jacke",2024-02-07 09:02:33
U8 Alexanderplatz richtung Wittenau,2024-02-07 09:48:01
U8 Blaue Westen wieder Alexanderplatz,2024-02-07 09:53:50
"Sind 3 Personen, zwei männlich gelesen und eine weiblich, tragen alle Westen von B.O.S",2024-02-07 09:24:26
Grade bei Leopoldplatz u6 Richtung alt mariendorf,2024-02-07 09:43:09
S5 nach Strausberg Nord bei Bellevue 2 männlich gelesen,2024-02-07 09:41:46
Mind. 3 BVG Kontrolleure in der U2 Deutsche Oper ausgestiegen,2024-02-07 08:54:48
"1 male read person (grey jacket, jeans, white sneakers) in S 1 Jungfernheide direction to Oranineburg",2024-02-07 08:40:50
3x BOS at frankfurter tor u5. Heading to honow,2024-02-07 08:15:47
2x BOS im Bus 245 richtung Turmstrasse gleich haltestelle Steinplatz,2024-02-07 08:20:16
"3 Personen ohne Weste S75 Richtung Wartenberg, gerade Friedrichsfelde",2024-02-07 08:45:28
Fahren jetzt Richtung osloerstraße,2024-02-07 08:43:33
"Elsterwerderplatz U5 
3 kontis bvg Jacken",2024-02-07 08:27:36
4 Blauwesten U8 Gesundbrunnen,2024-02-07 08:35:45
U8 Bernauerstr,2024-02-07 08:56:32
"Alexanderplatz ausgestiegen, eine Person war in einer grünen Weste",2024-02-07 08:56:50
"2 Menschen schwarz angezogen, gerade s7 in Friedrichsfelde Ost ausgestiegen",2024-02-07 08:21:02
fahren wahrscheinlich weiter mit der s7 richtung ahrensfelde,2024-02-07 08:21:29
schwarze bomberjacke,2024-02-07 08:10:17
S Halensee s46 2m gelesen mit schwarzen Mützen,2024-02-07 08:34:15
halensee ausgestiegen,2024-02-07 08:11:25
,2024-02-07 07:02:59
Blau Westen in der u8 Richtung hermannplatz (sind jetzt am Alexanderplatz) steigen mit aus,2024-02-07 07:07:50
U8 Just left at Moritzplatz,2024-02-07 07:33:02
S5 richtung ostbahn eingestiegen,2024-02-07 07:08:04
Alexanderplatz,2024-02-07 07:02:06
Richtung witenau am hermannplatz,2024-02-07 07:57:53
Sind Alt-Reinickendorf raus,2024-02-07 07:26:56
"U8 Moritzplatz
Blaue Weste",2024-02-07 07:32:38
"S5/S7/S75 Friedrichafelde ost 
kontis 2 Herren 1 Frau alle schwarz gekleidet",2024-02-07 07:05:58
"2 Personen S8 Richtung Treptower Park, Blaue Jeans, Blaue Jacken",2024-02-07 07:44:16
Kontrolleure mit blauen westen gerade in die u8 gestiegen,2024-02-07 07:57:35
Richtung Potsdam hbf,2024-02-07 07:26:49
